,index,summary_x,cleaned_summary,date,operator,aircraft_type,ground,aboard_total,aboard_pass,aboard_crew,fatalities_total,fatalities_pass,fatalities_crew,flight_type,start,destination,lay_over,city,country,state_complete,lat,lon
0,102,Disappeared over the Sea of Chiloe,disappear sea chiloe,1945-09-28,Military - United States Army Air Force,Curtiss C-46D,0,20,,,20,,,Military,,,,chihkiang,china,,,
1,117,Disappeared over the Mediterranean Sea while flying in a storm,disappear mediterranean sea fly storm,1946-09-15,Military - Royal Canadian Air Force,Douglas C-47A Dakota,0,21,,,21,,,Military,,,,estevan,canada,saskatchewan,49.1428076,-102.991075
2,218,Disappeared while en route and never found.,disappear en route never find,1967-02-06,Syrian Arab Airlines,Douglas DC-3,0,19,,,1,,,Commercial,,,,aleppo,syria,,36.19924,37.1637253
3,252,Disappeared while en route on a non-combat mission. Wreckage found 39 years later on 4/30/1983.,disappear en route non combat mission wreckage find 39 year late 4 30 1983,1971-06-13,Military - U.S. Air Force,Boeing - EC-135N,0,24,,,24,,,Military,Hickam AFB,Pango Pango,,,north pacific ocean,,30.0,-170.0
4,260,Disappeared while en route from Iceland to Newfoundland.,disappear en route iceland newfoundland,1974-04-24,Aeroflot,Ilyushin IL-18E,0,115,,,1,,,Commercial,,,,tashkent,uzbekistan,,41.3123363,69.2787079
5,297,Disappeared en route.,disappear en route,1980-09-17,Military - Zairean Air Force,de Havilland DHC-5 Buffalo,0,36,,,36,,,Military,,,,kindu,democratic republic of the congo,maniema,-2.9493766,25.9184499
6,309,Disappeared off the Atlantic coast after sending a distress message. A witness observed the plane hit the water at a 45 degree angle. No wreckage or bodies were ever found.,disappear atlantic coast send distress message witness observe plane hit water 45 degree angle wreckage body ever find,1982-02-07,Military - Indian Air Force,Fairchild C-119G,0,23,,,23,,,Military,Parhankot,Leh,,srinagar,india,,34.0747444,74.8204443
7,312,Disappeared on a trans-Atlantic flight from Montreal to England.,disappear trans atlantic flight montreal england,1982-05-28,Pelita Air Service,Aerospatiale 330G Puma,0,10,,,10,,,Commercial,,,,natuma island,indonesia,,,
8,328,Disappeared en route.,disappear en route,1984-02-16,Military - Ethiopian Air Force,Antonov AN-12,0,38,,,26,,,Military,,,,debre zelt,ethiopia,,,
9,366,Disappeared.,disappear,1988-09-19,Military - Afghan Republican Air Force,Antonov AN-26,0,34,,,34,,,Military,,,,miram,pakistan,,-36.370669,141.382406193966
10,410,Disappeared and crashed into the ocean just off the coast of Terracina in clear weather. On board were an Egyptian Princess and her court. The cause remains unknown although sabotage is a possibility.,disappear crash ocean coast terracina clear weather board egyptian princess court cause remain unknown although sabotage possibility,2005-04-21,Military - Bulgarian,Mil Mi-8,0,11,,,11,,,Military,,,,baghdad,iraq,,33.3061701,44.3872213
11,412,Disappeared while en route.,disappear en route,2006-01-09,Military - Iranian Revolutionary Guard Corps Air Force,Dassault Falcon 20,0,11,,,11,,,Military,Tehran,Orumiyeh,,orumiyeh,iran,,37.548341,45.0667111
