,title,published date,url
href,Police give major update on missing woman who vanished at airport after missing connecting flight - LADbible,29 Nov 2024 ,https://news.google.com/rss/articles/CBMiugFBVV95cUxPMDR4VExYR0piUUl0S0cza2pWNW9XUWd5b2dCZGp6SkpLbWVWN3dwUnFoWTAzdlNjY2ZXcktNWUxWdnRfcGgtZEFhMVBqNTNXa2VpNEY3cjFaMHN2eHdBMlhNT2JhX3JIQ0QtZ2VJV0ZSZW5kel9WbDFjZTN6RjYyM3h6bVlsRjU4dU96MVJyTm9SWDJfdFpIbmExUy13MkNrQlIxS0NUOVNYNVBtZ2t3LWxZSDROVmViLVE?oc=5&hl=en-US&gl=US&ceid=US:en
href,"Woman disappeared after missing flight at LAX, sending concerning texts to friend, family says - WILX",19 Nov 2024 ,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNWDNlYzVjNlBfXzJyUGRtOGNUUHl2VlRYdjl6NTFzR2xhS2c5UjVVZ215WkNacHJTdzBQT2Fkb3lXYTFBaXgzeERLOGFaWjZIZUN1TndHRzlKVVhIWlprME4tcUVJUFV6RENSR0VYY0Z4a3ViWU51dk5kRzdob3A2eFVTWTVYRGJPMUllQTMxWWlNMm9TemY5MjZtckJ5dUVWb0tPRzJMVWxjWmsyT3ozM25JQU5QWVFadFFj0gHPAUFVX3lxTFBvb2w5aS00X3JNV0Y5TFloWTBScmxNbDFETS1pLVFpQ3hhNUk1TjE3WU10Z1I0UGd3MVhkUC12eGNDdTBfWlcyV2hWU0IwOENNYWZzSGZENEdBekwtVHJ0TVVYMjJCdmJHb09vbWJTaGxmSUhFWXNBSFl1blctVHBmNDI5Wkc4RkhwNWkwZm1fTDFTZmppM1JDeTc1U3A5TU1lLVRKTGlUWkVtcnhMRWNSYTRKbFZNcV9oekdjNFVSQUtOazUyajVkTkdqNnpXdw?oc=5&hl=en-US&gl=US&ceid=US:en
href,Many hoped it was Amelia Earhart's missing plane. It turned out to be a rock formation - USA TODAY,25 Nov 2024 ,https://news.google.com/rss/articles/CBMimwFBVV95cUxOMjdzZHNtWnZXRl9XS1Y4ZlZ5MkRFd1g0WTRSeGJ1OElzdUI3VUdFTER5Z2Z1S0trRGlQa2ZoN3VFMnlWSUpCZV9fdUdfTWR2OHpnRUptYjczbnppT2hFUDl0RXhPLV9JZWN2RmZCSE1DcVZPcmYxRjBDVVFJU1RPT3BlbUJWN1BVYjRoQjVyQTgwVGJOQlRuejNUNA?oc=5&hl=en-US&gl=US&ceid=US:en
href,Malaysia Airlines flight MH370 vanished 10 years ago today. What have we learned about what happened? - CBS News,08 Mar 2024 ,https://news.google.com/rss/articles/CBMigwFBVV95cUxPdGFYRXNIbkNtRzlySkdZOVU1YzlDcnNrSHIxcUFaRERVeF9CY083Mk4zcmdsbnVfVU5zRG9qMXVuRTZHU0RkQ1JwYW1WMzM3Yk85YllKaXJUMGI5YmhSb0Q3bi1udkpfYVFLbURZRHg3Y0dwOHlROVZ4aGdKN2c2eXRRWdIBiAFBVV95cUxPaW9LalBVWl9UMndZVE5EaEtWa285N0ViY01uR2RESVo5SmU1WWJNbjFiWTNqdjFkM2dfcHd3dU84S2hua05LcXk2cV9MZWZjNXMtbXZoQllvZERfLXdUanFuNl9ta1AzeXRGeEVFajFRSzh2bThMWVJDV3F5bmtSLU5kaDNwWjVz?oc=5&hl=en-US&gl=US&ceid=US:en
href,The people who are still looking for disappeared flight MH370 - and why the mystery is so hard to solve - BBC.com,08 Mar 2024 ,https://news.google.com/rss/articles/CBMikAFBVV95cUxOeEhOUm1pNTNrSk1VZGZzVWRIY3BycVdZMTEtZy1nSFlKS0lCLS1IajRWSGVhVFlKVEhXWHpUZWozYms4WEV0aUc0Z1pwbmVZX3BfOXk5OU9wX2J2NjVHdlBTZFJRcGlwRGZGR3FLb1oxdlc4NEU3MHUwU0JiQVJHdEF0VTgtckR0WVpMSGEyRWI?oc=5&hl=en-US&gl=US&ceid=US:en
href,MH370 disappeared a decade ago. Here's what we know about one of aviation's biggest mysteries - The Associated Press,05 Mar 2024 ,https://news.google.com/rss/articles/CBMiowFBVV95cUxOTDQ2ekNjMDIzYVFkR2t4NEY5U1VnQU50S2xadGJ3c1YwSC1HQzJCREhlV0RuS3cyajJSZFVDcUVkS2FocHRqbFNfSEpQS1JWUEVicUZfN251a0ZsV3RKMU91N0FWMnFiNUpEMjhIUVdicmJVVzhDbWdrT3lMNVg5elJsOVd3SkNqUDJ6NUdyM1ZwNmZFeVlUaV9HZi1JVG1XaVM0?oc=5&hl=en-US&gl=US&ceid=US:en
href,The Unsolved Mysteries of 8 Missing Passenger Flights - History,08 Mar 2024 ,https://news.google.com/rss/articles/CBMiekFVX3lxTFBiM2hQbll6SWhfVFpzQWozelYtNktlSlQwNE1pTTRyZGxGVDdISEJpdHpIRlRCbWJyYzk3eG1HTW80dHhJc0IzeGZyYktYam9oTm9mV1k0bWh6dWkyZFVSel9JdTNFZF90dnVBT3o1VEdEMVp5MThQUTZ3?oc=5&hl=en-US&gl=US&ceid=US:en
href,It’s the Most Hated Airline in America. You’re Not Going to Like What Happens When It’s Gone. - Slate,15 Oct 2024 ,https://news.google.com/rss/articles/CBMijgFBVV95cUxQdXc3Skx5S2MxLW1yREc4QVctd3FYVHhzS3hnTk50a3h5dzRxYnJxcGYwMnV0bHZhVGd3THdDeWl2dWg4WkRtY3ZxOVVtZ2hEbTJKa3JaZ1hZV203Q1JONzNYcU1KLXVUM0JqejhvdjJPNzZrNTlmbXBqRTFLam5TbklXb0gyaEpjeDFfTXRn?oc=5&hl=en-US&gl=US&ceid=US:en
href,Search suspended for missing Sebastian airplane in the Bahamas - WPBF West Palm Beach,06 Aug 2024 ,https://news.google.com/rss/articles/CBMirAFBVV95cUxOYVBlQk5aQ3MtRkl5MWg3YTZvaGY3aERfQzRENjFDbnBDbGdjZGJTbHBxTUwwT2pvUGd0WENDZmdDUi0wT2w5VlJjcmpzWWpnVmo3YmVoaXphNTl6Szk3Qkp3S3dMWi0zTkR4R1dBTFZiZ0I1aHpkQjNBU19hUXFaNF9KNzdZU21wWFpiNTYyV1JGeE1La2FyOUJFUkJHeUJzYlZWaUoybTZuVkh3?oc=5&hl=en-US&gl=US&ceid=US:en
href,'Unsolved Histories' podcast examines disappearance of Flight 293 - KSL NewsRadio,01 Oct 2024 ,https://news.google.com/rss/articles/CBMicEFVX3lxTE5QVzJMM3Fhc0NWd1lqeGhsTzBSMDNVM2VpTzJxMVo3OTljWERHb2NvVWFsZDBfdXpZV1F2bnh4Tl9yUFBVclJhWUxtTnpYeTNaT3pTb1Z6UjF1UGZ3eWtJOHZpVmI2V3p5V2JxR0tLR2k?oc=5&hl=en-US&gl=US&ceid=US:en
